PuzzleID,Strategy,Solved,Solution Depth,Expanded Nodes,Max Fringe Size,Execution Time
1,DFS,True,1,2,3,0.0000
1,BFS,True,1,4,8,0.0000
1,UCS,True,1,4,8,0.0001
1,A* with Manhattan Distance,True,1,1,4,0.0000
2,DFS,True,5,581,20,0.0165
2,BFS,True,5,172,192,0.0019
2,UCS,True,5,172,192,0.0069
2,A* with Manhattan Distance,True,5,5,11,0.0001
3,DFS,True,7,1355,19,0.0774
3,BFS,True,7,719,803,0.0215
3,UCS,True,7,719,803,0.1038
3,A* with Manhattan Distance,True,7,7,17,0.0002
4,DFS,True,7,3108,21,0.3704
4,BFS,True,7,403,440,0.0074
4,UCS,True,7,403,440,0.0329
4,A* with Manhattan Distance,True,7,10,22,0.0002
16,DFS,True,9,3884,21,0.5814
16,BFS,True,9,3534,3703,0.3649
16,UCS,True,9,3534,3703,2.2023
16,A* with Manhattan Distance,True,9,13,35,0.0004
21,DFS,True,7,3498,21,0.4832
21,BFS,True,7,829,935,0.0254
21,UCS,True,7,829,935,0.1353
21,A* with Manhattan Distance,True,7,7,20,0.0002
22,DFS,True,3,1352,21,0.0757
22,BFS,True,3,29,39,0.0002
22,UCS,True,3,29,39,0.0006
22,A* with Manhattan Distance,True,3,3,9,0.0001
23,DFS,True,9,3422,19,0.4659
23,BFS,True,9,2651,2830,0.2221
23,UCS,True,9,2651,2830,1.2664
23,A* with Manhattan Distance,True,9,10,25,0.0003
24,DFS,True,1,2,3,0.0000
24,BFS,True,1,4,8,0.0000
24,UCS,True,1,4,8,0.0000
24,A* with Manhattan Distance,True,1,1,4,0.0000
30,DFS,True,7,1573,19,0.1033
30,BFS,True,7,515,560,0.0113
30,UCS,True,7,515,560,0.0522
30,A* with Manhattan Distance,True,7,9,18,0.0002
36,DFS,True,5,2473,22,0.2401
36,BFS,True,5,187,216,0.0023
36,UCS,True,5,187,216,0.0086
36,A* with Manhattan Distance,True,5,5,12,0.0001
37,DFS,True,9,2215,22,0.2005
37,BFS,True,9,2865,3111,0.2448
37,UCS,True,9,2865,3111,1.4650
37,A* with Manhattan Distance,True,9,9,24,0.0003
41,DFS,True,7,3379,22,0.4461
41,BFS,True,7,808,906,0.0256
41,UCS,True,7,808,906,0.1284
41,A* with Manhattan Distance,True,7,10,26,0.0004
42,DFS,True,5,339,19,0.0065
42,BFS,True,5,173,195,0.0020
42,UCS,True,5,173,195,0.0074
42,A* with Manhattan Distance,True,5,5,12,0.0001
43,DFS,True,9,1269,19,0.0683
43,BFS,True,9,3224,3453,0.3248
43,UCS,True,9,3224,3453,1.9318
43,A* with Manhattan Distance,True,9,17,39,0.0006
48,DFS,True,9,545,21,0.0153
48,BFS,True,7,732,821,0.0204
48,UCS,True,7,732,821,0.1040
48,A* with Manhattan Distance,True,7,9,23,0.0003
49,DFS,True,7,3102,22,0.3720
49,BFS,True,7,482,518,0.0096
49,UCS,True,7,482,518,0.0438
49,A* with Manhattan Distance,True,7,7,17,0.0002
50,DFS,True,5,2094,22,0.1778
50,BFS,True,5,142,170,0.0015
50,UCS,True,5,142,170,0.0054
50,A* with Manhattan Distance,True,5,5,14,0.0001
52,DFS,True,5,2473,22,0.2402
52,BFS,True,5,187,216,0.0023
52,UCS,True,5,187,216,0.0086
52,A* with Manhattan Distance,True,5,5,12,0.0001
56,DFS,True,9,2616,22,0.2695
56,BFS,True,9,2644,2888,0.2218
56,UCS,True,9,2644,2888,1.2472
56,A* with Manhattan Distance,True,9,13,30,0.0004
